# maelstrom - GimmeMotifs version 0.16.1
# method: mwu with motif score
# motif table: /media/ia1014/2011CBA352BBC48B/ipek/Diff_ATAC_maelstrom.out/motif.nr.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	ATAC_gain	ATAC_loss
GM.5.0.Sox.0009	-0.0	2.662968749799081
GM.5.0.bHLH.0015	-0.0	0.017089132247110197
GM.5.0.Paired_box.0018	-0.0	2.2163188647922114
GM.5.0.Unknown.0079	-0.0	4.690082249786093
GM.5.0.C2H2_ZF.0053	0.3065338594923437	-0.0
GM.5.0.Homeodomain.0122	1.5542726105354379	-0.0
GM.5.0.Homeodomain.0066	-0.0	0.521530724483413
GM.5.0.Unknown.0094	-0.0	2.332492768608432
GM.5.0.C2H2_ZF.0084	-0.0	3.29076496057465
GM.5.0.Ets.0028	-0.0	2.2250707367275804
GM.5.0.C2H2_ZF.0060	-0.0	0.9330814966705042
GM.5.0.Nuclear_receptor.0114	-0.0	3.773069157275137
GM.5.0.Forkhead.0024	-0.0	1.4754456680159662
GM.5.0.Rel.0010	-0.0	0.7613006721896125
GM.5.0.Forkhead.0031	-0.0	0.7262095977878742
GM.5.0.Homeodomain.0203	-0.0	0.7585732126033534
GM.5.0.C2H2_ZF.0193	-0.0	2.727037137673328
GM.5.0.RFX.0007	-0.0	0.2446122623561719
GM.5.0.SMAD.0002	0.43392185567598396	-0.0
GM.5.0.Unknown.0023	-0.0	0.25312989981932255
GM.5.0.C2H2_ZF.0043	-0.0	2.191742513115764
GM.5.0.Sox.0020	-0.0	0.7262095977878742
GM.5.0.Unknown.0196	-0.0	0.5574681237653715
GM.5.0.GATA.0023	0.77766064080533	-0.0
GM.5.0.MADS_box.0001	-0.0	1.8943781664381025
GM.5.0.bHLH.0126	-0.0	2.257665647606595
GM.5.0.Homeodomain.0079	-0.0	0.3744107717690139
GM.5.0.MADS_box.0019	-0.0	2.8681865148806844
GM.5.0.C2H2_ZF.0226	0.9652605731987745	-0.0
GM.5.0.C2H2_ZF.0088	-0.0	0.77766064080533
GM.5.0.THAP_finger.0005	-0.0	1.2113711448752178
GM.5.0.Unknown.0050	-0.0	0.8351312400920711
GM.5.0.C2H2_ZF.0252	-0.0	1.7600262368370667
GM.5.0.E2F.0017	0.5095208840176075	-0.0
GM.5.0.Unknown.0148	-0.0	0.2484508525257922
GM.5.0.bZIP.0084	-0.0	1.586349622028579
GM.5.0.RFX.0017	-0.0	0.5586402624462032
GM.5.0.Ets.0036	0.08321538439005109	-0.0
GM.5.0.Ets.0011	-0.0	5.559634372210008
GM.5.0.TEA.0007	-0.0	2.9346318103708846
GM.5.0.Mixed.0034	-0.0	0.029852012100471975
GM.5.0.Unknown.0206	-0.0	0.7897838468888252
GM.5.0.THAP_finger.0006	-0.0	0.9330814966705042
GM.5.0.Mixed.0080	-0.0	5.9006289116106405
GM.5.0.IRF.0021	-0.0	0.376577476417906
GM.5.0.Unknown.0032	-0.0	1.0159331738763069
GM.5.0.bHLH.0104	-0.0	0.9330814966705042
GM.5.0.GATA.0004	0.4947316723646455	-0.0
GM.5.0.E2F.0008	-0.0	0.4061385709668682
GM.5.0.bHLH.0010	1.435704145352035	-0.0
GM.5.0.C2H2_ZF.0019	-0.0	0.3031627527634983
GM.5.0.Forkhead.0047	-0.0	0.3308263564112015
GM.5.0.Homeodomain.0200	-0.0	0.11615936672337139
GM.5.0.C2H2_ZF.0036	-0.0	1.3767140860778764
GM.5.0.bZIP.0065	-0.0	0.8419399074132098
GM.5.0.Mixed.0084	1.2526539505739969	-0.0
GM.5.0.Mixed.0017	-0.0	1.614544430013507
GM.5.0.Rel.0017	-0.0	1.1532565736559355
GM.5.0.SMAD.0012	0.49025927429139216	-0.0
GM.5.0.bZIP.0092	-0.0	1.6541019789956162
GM.5.0.Mixed.0011	0.2484508525257922	-0.0
GM.5.0.STAT.0017	-0.0	0.3716031286768086
GM.5.0.Mixed.0079	0.15307924857602512	-0.0
GM.5.0.Nuclear_receptor.0009	-0.0	13.591944057065287
GM.5.0.Mixed.0072	-0.0	0.5115500668611008
GM.5.0.C2H2_ZF.0210	-0.0	2.5574789420221378
GM.5.0.MBD.0002	0.09985167367902617	-0.0
GM.5.0.C2H2_ZF.0272	-0.0	0.11615936672337139
GM.5.0.C2H2_ZF.0054	-0.0	1.2259985515684126
GM.5.0.MADS_box.0017	-0.0	0.8919586516860696
GM.5.0.Homeodomain.0050	0.647846117267603	-0.0
GM.5.0.MADS_box.0003	-0.0	0.4780163348013607
GM.5.0.Unknown.0182	-0.0	0.04344903426922131
GM.5.0.Sox.0003	-0.0	2.727037137673328
GM.5.0.C2H2_ZF.0027	-0.0	0.11120892921417633
GM.5.0.C2H2_ZF.0195	-0.0	0.4461702601919897
GM.5.0.Nuclear_receptor.0048	-0.0	0.24576957384804837
GM.5.0.Nuclear_receptor.0079	-0.0	1.0149824511704912
GM.5.0.Unknown.0178	-0.0	0.6718973578068306
GM.5.0.Sox.0014	-0.0	1.2903149573001371
GM.5.0.Homeodomain.0129	2.3780797547517407	-0.0
GM.5.0.C2H2_ZF.0316	-0.0	2.386107853403164
GM.5.0.Ets.0024	-0.0	2.404973304284955
