	z-score 3' UTR	z-score 5' UTR	z-score Distal Intergenic	z-score Downstream (<1kb)	z-score Downstream (1-2kb)	z-score Downstream (2-3kb)	z-score Exon	z-score Intron	z-score Promoter (<=1kb)	z-score Promoter (1-2kb)	z-score Promoter (2-3kb)	3' UTR % with motif	5' UTR % with motif	Distal Intergenic % with motif	Downstream (1-2kb) % with motif	Downstream (2-3kb) % with motif	Downstream (<1kb) % with motif	Exon % with motif	Intron % with motif	Promoter (1-2kb) % with motif	Promoter (2-3kb) % with motif	Promoter (<=1kb) % with motif
GM.5.0.T-box.0002	-0.7505823920530942	0.04798691628124288	1.7683082270495902	1.0288089447173192	1.906139516359293	-0.45668220862355	0.9046635516853183	0.9515082089862487	-0.7068374241978352	-0.7272265185041901	0.24709100197828415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.042901161412657	1.167693804735647	0.012579407509906283
GM.5.0.STAT.0016	1.5024750584349738	-0.6558471913501256	0.9357087072419914	-0.7985366195529913	2.0015650347245573	0.15657170346959504	-0.3010489109063129	1.1072298542119945	-0.04551447006638359	-0.0273305356510126	-0.8348740630092619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5688551789523584	0.7135906584495622	0.012579407509906283
GM.5.0.Unknown.0010	-0.5818875759080354	0.9584096541439443	-0.5401798677577903	-0.27234799430872325	0.8829110226000771	-0.5994962645834881	1.197232259712288	-0.4626550994987361	1.3164017349286672	1.6305364834269764	-0.7846246325064873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.493244844749941	0.9730781706130393	0.05031763003962513
GM.5.0.Unknown.0148	-0.0028045471261047457	2.210919963200456	0.32918180509922235	0.9223519088534169	0.7429590523910131	1.1299719693953307	1.5226722205273435	0.4141423735889462	1.0547282092664412	0.26749711063405845	0.6916664474589138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9243896657975823	0.9730781706130393	0.018869111264859427
GM.5.0.bHLH.0111	1.315406442490022	-0.8574554407696157	-1.570245823728656	-0.36544552927103446	-0.7300469777961958	1.1943528279277922	-1.2851757673985975	-1.5458089805896988	1.0026985623495197	1.134650667907507	-1.52492655913733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9480919649205973	0.8108984755108661	0.056607333794578274
GM.5.0.Mixed.0108	-1.7057014105926183	0.8730207532186762	-0.1894401719517912	-2.5480709871175753	-2.810647432157547	0.32243511935656316	0.1883795337481059	-1.478513677164132	-3.126338021135271	1.4334798310995416	0.47170834260796907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9717942640436122	0.6811547194291274	0.018869111264859427
GM.5.0.Unknown.0134	-0.78264593186468	0.6693521416447906	0.5964436857878869	0.31587391332855824	-0.9152684240195817	0.4639834970404102	-0.37773786154940264	1.3884841051542194	-0.3936826436060283	-1.3012868261846215	-0.5757915512600983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9480919649205973	1.4596172559195588	0.044027926284671996
GM.5.0.C2H2_ZF_Homeodomain.0002	0.6797874903216904	1.8119409005544227	0.6657561640730065	1.0083811872276016	1.2927290513884844	1.8932701236463936	1.886739951602679	0.8066296390076965	0.7483529743297711	-0.24850861760596094	-0.30417970463100436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GM.5.0.Unknown.0009	0.27449992695774167	0.7892569050124247	-1.072744073948877	-1.149889739976404	-1.5503087433790401	-0.21337503140290956	-1.2604701285652624	-1.2911884861838194	1.1804865383000815	-0.49142159377959294	-0.6446420676663558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8724816307181795	1.3298734998378203	0.08176614881439084
GM.5.0.C2H2_ZF.0092	0.6524027122063005	-1.6833993386679629	0.390468118891034	-0.9606106013518748	1.8999570292095074	-1.0936070561899123	1.1827650466575284	0.37841879227372144	-1.300824920148623	1.3813901944537583	0.09516054932521811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2754207158094335	1.9461563412260785	0.06289703754953142
GM.5.0.C2H2_ZF.0192	-0.73404698709866	-0.12255510840484471	-0.0119306183755811	-2.853762057070237	-0.1115927431769524	-2.1084789400946184	0.059503817312070245	-0.38588141260806885	-2.2172027484629475	0.7538389169401566	1.1301835634463493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.042901161412657	1.2001297437560816	0.03144851877476571
